,algorithm,experiment,generation,Hypervolume,GD,IGD,GDPlus,IGDPlus,Scalarized-objective
0,NSGA2,1,0,0.0,53.66284544757853,61.18015224734418,53.66284544757853,56.02808517441392,-10.42456340789795
1,NSGA2,1,1,0.0014681068064273624,54.17176679006976,56.44964759233598,54.17176679006976,55.34627769152433,-10.42456340789795
2,NSGA2,1,2,0.09156639103245243,46.29238046061689,48.855448454357244,46.29238046061689,42.38344262192375,-20.487284302711487
3,NSGA2,1,3,0.2590674930758325,9.4286314327809,38.620143456371615,7.093196868896484,20.555961830811327,-41.10219192504883
4,NSGA2,1,4,0.2590674930758325,19.216612103923016,38.620143456371615,18.04889482198081,20.555961830811327,-41.10219192504883
5,NSGA2,1,5,0.2590674930758325,26.743857554179314,32.53893871267994,25.965379366217842,20.55486417848363,-41.10219192504883
6,NSGA2,1,6,0.2590674930758325,26.743857554179314,32.53893871267994,25.965379366217842,20.55486417848363,-41.10219192504883
7,NSGA2,1,7,0.2803042305977056,23.634717544731984,30.441070495372713,22.769451101209864,20.254628767512315,-41.10219192504883
8,NSGA2,1,8,0.30150849192777013,25.904274955487416,24.106626276936687,25.385115089374143,19.947418878433766,-41.10219192504883
9,NSGA2,1,9,0.3059143523429158,26.433939492064894,24.034471254285275,26.001306270303832,19.898928125353383,-41.10219192504883
10,NSGA2,1,10,0.31319418244795044,21.99700884174778,21.999709051232713,21.477848975634508,17.87435458241505,-42.75642776489258
11,NSGA2,1,11,0.31890609250068663,20.83729003876856,19.66620552929805,20.39616895977538,17.748486851844813,-42.75642776489258
12,NSGA2,1,12,0.36004319589967815,21.668559665155517,19.690566188501325,21.169160073687014,17.247479991574515,-42.75642776489258
13,NSGA2,1,13,0.3601522485485339,22.570388164563226,19.678581700130035,22.133413522028285,17.242152677508123,-42.75642776489258
14,NSGA2,1,14,0.43838863080360946,22.15041347390234,18.58188488866239,21.670723574752355,16.164086520589397,-42.75642776489258
15,NSGA2,1,15,0.4893378108701596,20.156373567068915,18.0483354868791,19.684452198988254,15.669820866707681,-42.75642776489258
16,NSGA2,1,16,0.4893378108701596,20.156373567068915,18.0483354868791,19.684452198988254,15.669820866707681,-42.75642776489258
17,NSGA2,1,17,0.4910637161797484,19.118325651855052,17.87193490773092,18.714291435747473,15.656901651112761,-42.75642776489258
18,NSGA2,1,18,0.5617951298569999,19.21569097646802,17.631219922307636,19.015765637380436,14.28985574042295,-42.75642776489258
19,NSGA2,1,19,0.5717279498815112,19.47386923786865,17.56422404464099,19.28932277101857,14.210092862213088,-42.75642776489258
20,NSGA2,1,20,0.5823897119424916,18.96558574694562,17.03467149613705,18.78103928009554,13.918420332470836,-42.75642776489258
21,NSGA2,1,21,0.5860930831761912,20.026469264093716,16.628684764234432,19.726087085654992,13.88740131064646,-42.75642776489258
22,NSGA2,1,22,0.6447142042990838,11.625145744872553,16.973811172945894,10.695980645711687,12.22558427098124,-43.426809310913086
23,NSGA2,1,23,0.6591780063866711,11.838239699174368,15.374853085431583,10.822735387769482,11.627853214235596,-43.98139953613281
24,NSGA2,1,24,0.7037465557873956,10.366672029052072,13.658333449528032,9.257584742887062,10.34874952732726,-43.98139953613281
25,NSGA2,2,0,0.016046240238079382,56.23563021259709,58.46918474496732,55.992033412844975,58.11572069322312,-3.512893319129944
26,NSGA2,2,1,0.034390226493017984,44.562482699313726,42.385765259564884,44.2579866996236,40.47885395246353,-22.623565912246704
27,NSGA2,2,2,0.14138830389316936,39.320909118965,38.59501000950329,39.320909118965,37.56614071794529,-22.623565912246704
28,NSGA2,2,3,0.14138830389316936,39.320909118965,38.59501000950329,39.320909118965,37.56614071794529,-22.623565912246704
29,NSGA2,2,4,0.16980536454809528,37.055689928022524,38.124955515451,37.055689928022524,36.58558170920081,-22.623565912246704
30,NSGA2,2,5,0.18139692933261276,38.2533491179189,36.911678373098354,38.2533491179189,36.42295211467382,-22.623565912246704
31,NSGA2,2,6,0.18707364694947037,37.25423507177951,36.5289021896769,37.25423507177951,36.28245037867695,-22.623565912246704
32,NSGA2,2,7,0.2671040348126871,30.599307683389597,28.76079826778521,30.599307683389597,28.034228657385356,-32.70709991455078
33,NSGA2,2,8,0.27970887127836985,30.75620956718276,28.419455216958255,30.75620956718276,27.774922407158144,-32.70709991455078
34,NSGA2,2,9,0.3029730657904014,28.87910441252572,29.69165491481311,28.87910441252572,26.810884001626548,-32.70709991455078
35,NSGA2,2,10,0.3030623193755508,30.99785954436889,29.69165491481311,30.99785954436889,26.810884001626548,-32.70709991455078
36,NSGA2,2,11,0.33720713952112064,25.242806554817378,19.26556986075452,25.048002784464984,17.977562593859876,-42.48392677307129
37,NSGA2,2,12,0.33720713952112064,25.242806554817378,19.26556986075452,25.048002784464984,17.977562593859876,-42.48392677307129
38,NSGA2,2,13,0.3514246394050815,21.65124493699061,19.0780502384684,21.391506576520754,17.647563009505966,-42.48392677307129
39,NSGA2,2,14,0.3526781239269321,21.79977484416874,18.637212098653418,21.577141963766007,17.57307154835692,-42.48392677307129
40,NSGA2,2,15,0.3526781239269321,21.79977484416874,18.637212098653418,21.577141963766007,17.57307154835692,-42.48392677307129
41,NSGA2,2,16,0.3581432988768046,21.233726996559003,18.67230489942332,20.725977210882085,17.357699770039634,-42.48392677307129
42,NSGA2,2,17,0.3625092127723948,20.78976783412243,18.437957382534695,20.117490552175862,17.25234024315422,-42.48392677307129
43,NSGA2,2,18,0.3752987915522643,18.379881972267448,17.4493336931047,17.62357003007756,16.507431429171277,-42.48392677307129
44,NSGA2,2,19,0.37530203718361455,19.88390484190153,17.4493336931047,19.13729609837732,16.507431429171277,-42.48392677307129
45,NSGA2,2,20,0.37648675830421063,19.673152473258064,17.40769424759304,19.062290774010986,16.466114958647076,-42.48392677307129
46,NSGA2,2,21,0.3796346289403998,18.736493832987488,17.250521345380154,18.064545963815696,16.433106080609345,-42.48392677307129
47,NSGA2,2,22,0.3798212778681769,18.031737078509163,17.218001988306174,17.340494111281316,16.427650828625787,-42.48392677307129
48,NSGA2,2,23,0.4895578105483164,13.6063693502829,17.04780669391612,12.75263189577642,14.727265328193221,-42.48392677307129
49,NSGA2,2,24,0.4895631674758596,13.027438783037779,17.04780669391612,12.003874144529073,14.727265328193221,-42.48392677307129
50,NSGA2,3,0,0.0,58.764304815585106,58.60494819161796,58.764304815585106,54.80891804370084,-9.664552688598633
51,NSGA2,3,1,0.0,37.90946078393878,49.31924372407994,37.90946078393878,45.523213576162824,-16.491535186767578
52,NSGA2,3,2,0.0,37.90946078393878,49.31924372407994,37.90946078393878,45.523213576162824,-16.491535186767578
53,NSGA2,3,3,2.059223889803764e-05,41.406342729799476,44.227260209554714,41.406342729799476,42.74673035126755,-20.611509323120117
54,NSGA2,3,4,0.05149428137124355,34.41510036057927,35.948236035155794,34.33037430297424,33.609380240292936,-29.108125686645508
55,NSGA2,3,5,0.09715602677483567,32.81332738939914,33.45161581975717,32.67917499235718,32.81899227141316,-29.108125686645508
56,NSGA2,3,6,0.24212610358367234,8.33599400038418,39.034754778568704,7.75048828125,22.45100757161961,-39.202176094055176
57,NSGA2,3,7,0.24407036444224778,8.185019929551538,36.90404987313268,7.892267069984449,22.39886482148644,-39.202176094055176
58,NSGA2,3,8,0.25880435649940753,13.600624113857446,30.3466628654402,13.453558359181958,21.999549871757214,-39.202176094055176
59,NSGA2,3,9,0.25880435649940753,13.600624113857446,30.3466628654402,13.453558359181958,21.999549871757214,-39.202176094055176
60,NSGA2,3,10,0.25880435649940753,13.600624113857446,30.3466628654402,13.453558359181958,21.999549871757214,-39.202176094055176
61,NSGA2,3,11,0.2929390140206517,14.087740375264932,28.000978368053914,13.970639231438096,21.070183973205776,-39.202176094055176
62,NSGA2,3,12,0.3201513842515296,16.24670552750015,30.784722033673283,16.04561395849944,20.261071768617395,-39.977023124694824
63,NSGA2,3,13,0.33421255011821777,14.894223887691814,23.41974469022899,14.246427052841463,18.65105446074108,-40.32749557495117
64,NSGA2,3,14,0.35334619860601674,14.852446866218743,19.271076482147233,13.880204387387048,17.659627205497912,-42.083187103271484
65,NSGA2,3,15,0.3544297018286469,13.262923373978053,19.295092123470987,12.101353922585208,17.640724710004665,-42.35644054412842
66,NSGA2,3,16,0.3579548747692371,12.43035994214947,19.39520360790695,11.209589736306244,17.468073019913323,-42.35644054412842
67,NSGA2,3,17,0.35978296693782924,12.13413401253047,18.465358885724694,10.995192719855584,16.500206055495603,-42.643707275390625
68,NSGA2,3,18,0.36219703925712937,11.178024768848186,19.30496263395784,9.768002977571768,16.39336727584657,-42.643707275390625
69,NSGA2,3,19,0.3621971134335857,10.568629531646259,19.30496263395784,9.179895826001855,16.393363530507433,-42.643707275390625
70,NSGA2,3,20,0.36761850336340995,9.041934056840597,24.320607868228514,7.891195346907512,16.17676971183061,-43.383660316467285
71,NSGA2,3,21,0.3684632256111534,8.39060083510199,24.110289184192172,7.06664591240725,16.012550170025776,-43.383660316467285
72,NSGA2,3,22,0.3949088407497877,8.006453305527254,19.859310288550684,6.255259072821854,15.35599488393474,-43.55845260620117
73,NSGA2,3,23,0.395510116859347,7.444210161100824,19.537335644446205,5.998049611526608,15.089214787283051,-44.648193359375
74,NSGA2,3,24,0.39723630503209495,7.761481315290135,19.35352446097784,6.517029398199371,14.906541041517274,-44.80817222595215
75,NSGA2,4,0,0.0,63.37185973713294,64.84921203624806,63.37185973713294,63.943288823575735,-4.233216285705566
76,NSGA2,4,1,0.03205302775268217,58.14125277411452,58.19855082266452,58.11524285697864,57.7391437524644,-4.233216285705566
77,NSGA2,4,2,0.03409500638275584,57.25727096669448,57.72321986290584,57.23776352884257,57.50300074064831,-4.233216285705566
78,NSGA2,4,3,0.04812736751030754,58.07505202491945,54.99737071230767,58.07505202491945,54.429169203387005,-6.088891983032227
79,NSGA2,4,4,0.04812736751030754,38.46401651644741,39.316034683661485,38.46401651644741,38.715728888388924,-23.829976081848145
80,NSGA2,4,5,0.04812736751030754,40.03494413587394,39.316034683661485,40.03494413587394,38.715728888388924,-23.829976081848145
81,NSGA2,4,6,0.0980526920652157,37.06205786450643,38.24390727312048,37.06205786450643,37.08715709147716,-23.829976081848145
82,NSGA2,4,7,0.41040934348690056,26.799090163051417,32.61031193090638,26.799090163051417,27.192639632892888,-24.062649726867676
83,NSGA2,4,8,0.4261864663616413,12.026399709615823,25.820116460891153,12.026399709615823,20.3818434048277,-33.524916648864746
84,NSGA2,4,9,0.4261864663616413,12.026399709615823,25.820116460891153,12.026399709615823,20.3818434048277,-33.524916648864746
85,NSGA2,4,10,0.4402943680314854,14.682309232222897,25.786436770150726,14.682309232222897,20.34816371408727,-33.524916648864746
86,NSGA2,4,11,0.44169381457651324,17.242154480880618,25.786436770150726,17.242154480880618,20.34816371408727,-33.524916648864746
87,NSGA2,4,12,0.44521529402543436,16.767012234859894,25.707505921465913,16.767012234859894,20.28937822744875,-33.524916648864746
88,NSGA2,4,13,0.44521529402543436,16.767012234859894,25.707505921465913,16.767012234859894,20.28937822744875,-33.524916648864746
89,NSGA2,4,14,0.44710270652648915,16.257596690470788,25.707505921465913,16.257596690470788,20.28937822744875,-33.524916648864746
90,NSGA2,4,15,0.4503129865586405,15.906436332966068,25.54376333910471,15.906436332966068,20.125605016013502,-33.67350673675537
91,NSGA2,4,16,0.45099494711697913,16.422098791099735,25.540739789909175,16.422098791099735,20.12258146681797,-33.67350673675537
92,NSGA2,4,17,0.451070400953207,16.221391895431125,25.538628658723916,16.221391895431125,20.12047033563271,-33.67350673675537
93,NSGA2,4,18,0.4651204748151869,16.658578977977974,21.890202862446923,16.517489011354172,16.319433018124407,-38.69838047027588
94,NSGA2,4,19,0.4825986121561441,11.723936900815556,21.50899458637152,11.441756967567947,15.911850505650127,-38.69838047027588
95,NSGA2,4,20,0.48380330614119593,11.567731919033392,21.487543069903246,11.285551985785784,15.87795107210822,-38.69838047027588
96,NSGA2,4,21,0.48380330614119593,13.325495850916388,21.487543069903246,13.0997519043183,15.87795107210822,-38.69838047027588
97,NSGA2,4,22,0.4871727356574541,13.231337189072983,20.384157145210633,12.905273956316682,14.778267683657,-39.74431228637695
98,NSGA2,4,23,0.49523542670960713,12.590817414125528,20.198051400760882,12.285241429850194,14.646302216262795,-39.74431228637695
