,algorithm,experiment,generation,Hypervolume,GD,IGD,GDPlus,IGDPlus,Scalarized-objective
0,NSGA2,1,0,0.0,48.09870270189397,59.18611034540354,48.09870270189397,51.93815837624532,-8.411610126495361
1,NSGA2,1,1,0.1696561464639901,39.98833761893244,44.86444586476572,39.822778260043556,44.65321775048219,-8.411610126495361
2,NSGA2,1,2,0.19241134101323212,34.31842584982017,33.558615270201706,34.31842584982017,33.347387155918184,-21.18472385406494
3,NSGA2,1,3,0.22372297977307481,30.9070982642667,32.99006067260947,30.83236015175349,32.7663762062404,-21.18472385406494
4,NSGA2,1,4,0.23157676899343965,30.012903860803803,32.70228481922775,29.938165748290594,32.4786003528587,-21.18472385406494
5,NSGA2,1,5,0.30437762258946877,27.443872837877834,30.627225340909888,27.369134725364624,29.926851014516973,-21.18472385406494
6,NSGA2,1,6,0.3173742943131565,27.96155805456447,30.603209584144256,27.862178796813918,29.902835257751345,-21.18472385406494
7,NSGA2,1,7,0.388276695470761,25.37180630212942,23.29818377354447,25.24985632979704,22.44164798237759,-30.207646369934082
8,NSGA2,1,8,0.388612145831544,27.163905538866228,23.29818377354447,27.004199007562647,22.44164798237759,-30.207646369934082
9,NSGA2,1,9,0.3996858059121781,27.476190482920146,23.246125097822386,27.37863050505424,22.392312131118956,-30.207646369934082
10,NSGA2,1,10,0.3996858059121781,27.476190482920146,23.246125097822386,27.37863050505424,22.392312131118956,-30.207646369934082
11,NSGA2,1,11,0.40188345806553677,28.11131048610832,23.246125097822386,27.95930070933899,22.392312131118956,-30.207646369934082
12,NSGA2,1,12,0.40429911388984635,27.167813912085037,22.632748140806907,27.015804135315708,21.93319972337773,-30.207646369934082
13,NSGA2,1,13,0.4043937684947587,26.803288215655027,22.632748140806907,26.567814366572765,21.93319972337773,-30.207646369934082
14,NSGA2,1,14,0.40839853036159074,27.1660226847989,22.632748140806907,26.486621396296886,21.93319972337773,-30.207646369934082
15,NSGA2,1,15,0.4199484126226648,28.08228307762418,24.619804269504417,27.089683838930135,21.797315181665052,-30.207646369934082
16,NSGA2,1,16,0.4233533575313582,26.569935065455834,23.93691840712745,25.30987550202243,21.11442931928808,-30.971071243286133
17,NSGA2,1,17,0.4233533575313582,28.12295387969579,23.93691840712745,27.05674963371367,21.11442931928808,-30.971071243286133
18,NSGA2,1,18,0.4660857347537251,25.396684454166728,20.389621489138722,24.24162985435277,19.45615374393494,-30.971071243286133
19,NSGA2,1,19,0.4662340690445375,21.543638359184527,20.380128686614682,20.37528242106899,19.4466609414109,-30.971071243286133
20,NSGA2,1,20,0.4701860887414688,20.585224003341366,20.32316306324031,19.744097013965195,19.3957364813636,-30.971071243286133
21,NSGA2,1,21,0.47174548874019795,20.589319598151526,20.319046472874838,19.857139142671695,19.3957364813636,-30.971071243286133
22,NSGA2,1,22,0.5166874774449486,19.62020189952524,19.069818983331633,18.812264309872166,18.665259679926546,-30.971071243286133
23,NSGA2,1,23,0.5257302368308148,16.625805444112203,17.2586689024553,15.780417945958314,16.86759135765321,-31.40298366546631
24,NSGA2,1,24,0.531426814368076,16.402080092843992,17.070882418142247,15.697358567507363,16.679804873340156,-31.40298366546631
25,NSGA2,2,0,0.06846871506982741,51.71490154826726,54.94830953435525,51.60863494539196,54.00268155324644,-2.7308435440063477
26,NSGA2,2,1,0.12394809970860596,43.864402817956396,41.77406407247785,43.864402817956396,38.29789508220747,-18.969276666641235
27,NSGA2,2,2,0.16046082070619597,45.84562684761882,40.14172419812886,45.84562684761882,36.048390797937316,-20.804357767105103
28,NSGA2,2,3,0.16954644551584583,41.540135933528674,38.35513011635882,41.540135933528674,35.82355360338078,-20.804357767105103
29,NSGA2,2,4,0.17611745601983558,42.88019558943317,36.51334008729745,42.88019558943317,35.55400552893297,-20.804357767105103
30,NSGA2,2,5,0.34470520956827844,31.956579534025874,32.21101113865629,31.956579534025874,30.429463057040532,-20.804357767105103
31,NSGA2,2,6,0.36573405179344676,32.63847820555517,31.79666024199653,32.63847820555517,30.015112160380767,-21.549599170684814
32,NSGA2,2,7,0.39539317609763597,22.54721003710768,26.63513318789522,22.54721003710768,24.470107686064267,-27.68050479888916
33,NSGA2,2,8,0.39539317609763597,22.54721003710768,26.63513318789522,22.54721003710768,24.470107686064267,-27.68050479888916
34,NSGA2,2,9,0.39539317609763597,19.589053920993205,25.682389853928942,19.589053920993205,23.575510395144864,-27.68050479888916
35,NSGA2,2,10,0.43046985542827726,19.335901774024503,23.223807414683275,18.205952167120632,20.80202926804537,-29.14216899871826
36,NSGA2,2,11,0.466998020084241,20.136756163747883,21.741107314652197,19.14805025770699,20.397815522273774,-29.14216899871826
37,NSGA2,2,12,0.466998020084241,20.136756163747883,21.741107314652197,19.14805025770699,20.397815522273774,-29.14216899871826
38,NSGA2,2,13,0.4747036261317811,20.938894119000754,21.56258543539721,19.770817107522156,20.32441502483725,-29.14216899871826
39,NSGA2,2,14,0.4747036261317811,20.938894119000754,21.56258543539721,19.770817107522156,20.32441502483725,-29.14216899871826
40,NSGA2,2,15,0.49327240957573787,20.031746453999148,18.34838999492249,18.363065009029718,17.011364356965515,-33.893714904785156
41,NSGA2,2,16,0.6648658038200395,14.355476335119587,16.75890496384093,13.22552672821571,13.764761929824559,-33.893714904785156
42,NSGA2,2,17,0.6687871481973663,14.614756718778645,15.998434351564834,13.73590702452008,13.050304171576315,-35.00566482543945
43,NSGA2,2,18,0.6724610889179127,13.204061938995883,15.4301542326603,12.215356032954993,13.02906079757735,-35.00566482543945
44,NSGA2,2,19,0.6727821330110624,13.604331429883764,15.4301542326603,12.725481735625197,13.02906079757735,-35.00566482543945
45,NSGA2,2,20,0.6729196879777202,14.521977278854173,15.4301542326603,13.802918438097162,13.02906079757735,-35.00566482543945
46,NSGA2,2,21,0.6729196879777202,14.521977278854173,15.4301542326603,13.802918438097162,13.02906079757735,-35.00566482543945
47,NSGA2,2,22,0.6743858976195829,14.22918601022584,15.32744353357714,13.570048739531913,12.92635009849419,-35.00566482543945
48,NSGA2,2,23,0.6814317390598944,14.24264672221441,14.931730833084236,13.377373186415351,12.586550904620637,-35.00566482543945
49,NSGA2,2,24,0.681799302261562,14.655748880886074,14.931730833084236,13.905845149860227,12.586550904620637,-35.00566482543945
50,NSGA2,3,0,0.04208749128545532,52.14613323215449,54.80178277322136,51.77422115158917,53.881344140727684,-4.666058540344238
51,NSGA2,3,1,0.07962270244849923,48.348661674267404,53.84701640646974,48.02987989092568,53.258777036332184,-4.666058540344238
52,NSGA2,3,2,0.14112809680158186,37.380498492394935,42.13998203783746,36.934302826260705,40.80325942061077,-15.560967922210693
53,NSGA2,3,3,0.292600760058967,15.852387963143668,27.230162364731793,15.852387963143668,22.9028797136847,-31.472349166870117
54,NSGA2,3,4,0.3032290585196452,22.587042272529043,24.347193229299208,22.587042272529043,22.817495503733937,-31.472349166870117
55,NSGA2,3,5,0.36154035395948425,20.625031299124473,19.91569409565926,20.621278690184607,17.19703019100216,-38.39685249328613
56,NSGA2,3,6,0.36154035395948425,20.625031299124473,19.91569409565926,20.621278690184607,17.19703019100216,-38.39685249328613
57,NSGA2,3,7,0.36154035395948425,20.625031299124473,19.91569409565926,20.621278690184607,17.19703019100216,-38.39685249328613
58,NSGA2,3,8,0.3672948412053214,22.197965883713884,19.91569409565926,20.920750086669216,17.19703019100216,-38.39685249328613
59,NSGA2,3,9,0.3672948412053214,22.197965883713884,19.91569409565926,20.920750086669216,17.19703019100216,-38.39685249328613
60,NSGA2,3,10,0.3704587817005258,21.88061131871688,19.91569409565926,20.538316683104902,17.19057331927341,-38.39685249328613
61,NSGA2,3,11,0.3778048696877193,19.46529319810786,19.273790185424456,18.30620348795526,16.69131807022428,-38.486656188964844
62,NSGA2,3,12,0.3778048696877193,19.46529319810786,19.273790185424456,18.30620348795526,16.69131807022428,-38.486656188964844
63,NSGA2,3,13,0.3781013979523721,18.378167204747296,18.442510863974572,17.384661738902214,16.683434680433425,-38.486656188964844
64,NSGA2,3,14,0.3781467309425943,19.777050516757,17.9782522884207,18.907733234142547,16.68158932063118,-38.486656188964844
65,NSGA2,3,15,0.38972345848896595,18.152403913794124,17.367700770418733,17.887127785286047,16.08274201667413,-38.486656188964844
66,NSGA2,3,16,0.4015069033864319,19.525662139427304,18.891546396375066,18.255522675767523,15.670484345317925,-38.486656188964844
67,NSGA2,3,17,0.4015069033864319,19.525662139427304,18.891546396375066,18.255522675767523,15.670484345317925,-38.486656188964844
68,NSGA2,3,18,0.4015069033864319,19.525662139427304,18.891546396375066,18.255522675767523,15.670484345317925,-38.486656188964844
69,NSGA2,3,19,0.4067955262218903,12.570947223107172,18.206658659785102,11.482256254255931,15.499767201431965,-38.486656188964844
70,NSGA2,3,20,0.40860826568450137,11.996331731488777,17.89448666766835,11.045134362096391,15.083603014556575,-39.36544609069824
71,NSGA2,3,21,0.40860898077136243,11.518238280896334,17.89448666766835,10.6727295081031,15.083603014556575,-39.36544609069824
72,NSGA2,3,22,0.40860898077136243,11.518238280896334,17.89448666766835,10.6727295081031,15.083603014556575,-39.36544609069824
73,NSGA2,3,23,0.4100501592821286,13.545399529791391,17.458121405194117,12.784441634277481,15.07055775499314,-39.36544609069824
74,NSGA2,3,24,0.41663580421527374,15.270485459959415,17.260887718011006,14.57870555494677,15.004507536898421,-39.36544609069824
