,algorithm,experiment,generation,Hypervolume,GD,IGD,GDPlus,IGDPlus,Scalarized-objective
0,RNSGA2,1,0,0.0,252.43500906128375,269.8558996423463,252.43500906128375,269.8558996423463,-0.49387359619140625
1,RNSGA2,1,1,0.0,252.34686671685822,268.67304019689584,252.34686671685822,268.67304019689584,-0.49387359619140625
2,RNSGA2,1,2,0.0,233.11662467301218,258.9386042473971,233.11410230186178,258.9386042473971,-13.792831420898438
3,RNSGA2,1,3,0.0,243.6767763838195,222.29202710134493,243.6767763838195,222.29202710134493,-41.33357334136963
4,RNSGA2,1,4,0.0,283.32098507171344,153.04620306600552,283.32098507171344,149.5967895029084,-103.34208679199219
5,RNSGA2,1,5,0.0,193.51607811948088,147.29199922633376,193.46717960414375,145.75281214636328,-103.34208679199219
6,RNSGA2,1,6,0.0,183.49329638246047,146.14484879702033,183.4505101815405,144.61031748208038,-103.34208679199219
7,RNSGA2,1,7,0.0,168.79219251901773,142.34641109745127,168.74940631809778,141.8704535333959,-103.34208679199219
8,RNSGA2,1,8,0.02744456241742405,177.68324476651088,121.46553998385556,177.68324476651088,121.13471086538983,-114.2863540649414
9,RNSGA2,1,9,0.10762161366924883,162.03298457284464,108.39089489434618,162.02673448629545,103.3541530770907,-125.74448204040527
10,RNSGA2,1,10,0.10762161366924883,141.46375597399918,108.39089489434618,141.45906840908728,103.3541530770907,-125.74448204040527
11,RNSGA2,1,11,0.10762161366924883,149.56235605643357,108.39089489434618,149.5569988393914,103.3541530770907,-125.74448204040527
12,RNSGA2,1,12,0.10762161366924883,138.33778970078305,106.55463744311234,138.33310213587117,101.51789562585688,-125.74448204040527
13,RNSGA2,1,13,0.1262464178944305,138.07662805996384,104.83862126370215,138.07662805996384,97.91749428490355,-133.85471630096436
14,RNSGA2,1,14,0.1262464178944305,138.07662805996384,104.83862126370215,138.07662805996384,97.91749428490355,-133.85471630096436
15,RNSGA2,1,15,0.16876326718147758,174.94322084742964,63.979815252091846,174.30785016905557,53.92755031193492,-175.66865921020508
16,RNSGA2,1,16,0.16876326718147758,227.53590592810457,63.979815252091846,227.02760938540527,53.92755031193492,-175.66865921020508
17,RNSGA2,1,17,0.16876326718147758,227.53590592810457,63.979815252091846,227.02760938540527,53.92755031193492,-175.66865921020508
18,RNSGA2,1,18,0.16876326718147758,156.145691965569,63.979815252091846,155.51032128719493,53.92755031193492,-175.66865921020508
