,algorithm,experiment,generation,Hypervolume,GD,IGD,GDPlus,IGDPlus,Scalarized-objective
0,NSGA2,1,0,0.19383863707530943,33.24560902493027,44.410215869414316,31.5833598771724,43.79102597957267,-22.043027877807617
1,NSGA2,1,1,0.220587125333254,31.49210056241833,44.443373745607104,28.238429342891784,43.54688449130831,-22.043027877807617
2,NSGA2,1,2,0.23437975030894886,32.202025893848585,42.26795679677783,29.85731771184242,41.78182640921798,-23.709353764851887
3,NSGA2,1,3,0.2625005390271967,32.14879444128733,42.09767418680955,29.12529924918038,41.4150173291686,-23.709353764851887
4,NSGA2,1,4,0.2845100899545548,30.120524785077176,30.632990506077164,27.83678293156464,30.023304348729514,-29.482035795847573
5,NSGA2,1,5,0.2858774230576891,30.00798136962374,30.58989931323328,27.766929365807638,29.98431226338894,-29.482035795847573
6,NSGA2,1,6,0.3551556737154008,28.056937933442267,30.18400688028946,25.91868371924453,29.529604234607113,-29.482035795847573
7,NSGA2,1,7,0.35985902420267246,29.176948643020957,30.112810677281804,26.03443536028382,29.503092716796058,-29.482035795847573
8,NSGA2,1,8,0.38754997069943403,27.197973455311434,29.92076962681878,24.426492596860133,29.25589335414016,-29.482035795847573
9,NSGA2,1,9,0.3944929101721296,26.868849941603408,29.185409883386555,24.219958260807275,28.51733435770242,-30.622009038925167
10,NSGA2,1,10,0.41101502638099685,26.574781247890186,27.569420076639325,23.80736477113133,26.94480879302698,-30.622009038925167
11,NSGA2,1,11,0.41350030639782687,25.465766585651902,27.54097107038707,22.825682664047612,26.915025884962702,-30.622009038925167
12,NSGA2,1,12,0.41989858446602535,24.699085204940314,24.36772416536498,22.434063282591787,23.744611807199224,-32.012142181396484
13,NSGA2,1,13,0.42186020026696125,25.19076840495129,24.329126748734225,22.770027618145747,23.725117105411318,-32.012142181396484
14,NSGA2,1,14,0.43190528346891477,24.803986868608053,24.251302453762115,22.296022511516263,23.609982273798487,-32.012142181396484
15,NSGA2,1,15,0.4417804996197926,22.292525982256752,23.586182465387974,20.252392445048162,22.945253349250013,-32.012142181396484
16,NSGA2,1,16,0.44366646788333863,22.32735689991722,23.177543876194466,20.48701596084866,22.565853134042374,-32.012142181396484
17,NSGA2,1,17,0.4476184041259886,22.27006118905713,21.94479734746314,20.417040587200887,21.36641663539148,-33.41004180908203
